Tên thi?t b?,??A CH? IP,Hãng SX,Tình tr?ng v?n hành,Lo?i thi?t b?
375-7-52 Tr??ng Lái,192.168.2.58,Schneider,T?t,
382-7/119 Nà Vi?n,192.168.2.42,Schneider,,
 382-2 Xuân Tr??ng (?MT),192.168.2.198,Schneider,,
382-3 Hin ?ón,192.168.1.70,Schneider,,
371-7/148 Hu?i Phù,192.168.3.34,Schneider,,
375-7-154-50 ?èo Ch?n,192.168.3.14,Schneider,,
371-7/104/1 ?ông Bâu,192.168.1.82,Schneider,,
375-7/35/5 Chi?ng L??ng 2,192.168.3.6,Schneider,,
375-7/115/60 Bó H?c,192.168.1.78,Schneider,,
375-381 Phiêng Lanh (local),192.168.2.86,Schneider,,
377-2 Hu?i Ph?ng,192.168.1.170,Schneider,,
377-103 B?n K?,192.168.1.214,Schneider,,
373/3 Hát Sét,192.168.3.18,Schneider,,
375-7-43 B?n Két,192.168.1.90,Schneider,,
476-7-145B-50E Nà M??ng,192.168.3.118,Schneider,,
471-105 TK9,192.168.3.218,Schneider,,
473-106 Hang D?i,192.168.3.222,Schneider,,
372-92 Chi?ng Ve,192.168.3.250,Schneider,,
375/81/2 B?n Chang,192.168.7.186,ILJIN,,
375-129 B?n Pàn,"192,168,16,66",Schneider,,
371/4 B?n ?án,192.168.3.10,Schneider,,
473-7/191 TK 14,192.168.5.210,FTU SNS,,
371-7/106 B?n Chông,192.168.6.82,FTU SNS,,
371-7/125/3 B?n Pia,192.168.6.98,FTU SNS,,
371-7/40 B?n Chi?n,192.168.6.66,FTU SNS,,
371-7/70/42 Hua Chi?n,192.168.6.102,FTU SNS,,
375-7-38-2 Bó C?p,192.168.1.222,FTU,,
373-7/120/2 B?n H??n,192.168.7.82,FTU SNS,,
373-7/102 Chi?ng Sàng,192.168.7.78,FTU SNS,,
472-7/71/1 NÀ BAI,192.168.7.206,ILJIN,,
472-7/83/68 PH? M?U,192.168.7.210,ILJIN,,
 472-127 Xuân Nha,192.168.2.202,Noja,,
472-7/63/1 PÁ PU?C,192.168.7.214,ILJIN,,
472-7/48/4 Hua T?t,192.168.12.42,ILJIN,,
472-7/59/60 Bó Nhàng,192.168.12.34,ILJIN,,
472-7/92/4 L?ng Xá,192.168.7.226,ILJIN,,
375-7/79/2 Hu?i Hao,192.168.7.122,FTU SNS,,
 472/26 TT Minh Thúy (KH),?,POWERSYS,,
375-7/96B B?n Giàn,192.168.7.166,FTU SNS,,
375-7/60/33 B?n B?c,192.168.7.134,FTU SNS,,
375-7/30/2 B?n B?c,192.168.7.138,FTU SNS,,
375-7/41/3 Nong Ph?,192.168.7.154,FTU SNS,,
375-7/66 B?n Mòn,192.168.7.158,FTU SNS,,
371-7/15/2 Pá Xá,192.168.6.46,FTU SNS,,
371-7/103/32 Nong Hoi,192.168.6.42,FTU SNS,,
371-2 Mù Cang Ch?i,192.168.2.234,Schneider,,
332 TGVH,"192.168.11,202",Schneider,,
472 TGVH,"192.168.11,206",Schneider,,
412 TGVH,192.168.2.142,Schneider,,
382-7/185/172 Két Nà,192.168.5.90,Shinsung,,
375-108 M??ng Bú,192.168.1.166,Schneider,,
371-1 Chi?ng Ân,192.168.2.194,Schneider,,
377-7-140-3 Phiêng Phé,192.168.1.230,Schneider,,
377-7-87-5 B?n L?a,192.168.1.226,Schneider,,
374-15 Chi?ng Khoa,192.168.3.94,Schneider,,
373/77/6 Tinh B?t S?n,192.168.4.46,Schneider,,
373-7/49 Hu?i Ngà,192.168.7.58,FTU SNS,,
371/2 B?n Tìn (KH),192.168.7.42,Schneider,,
373-255 B?n Khoa,192.168.3.74,Schneider,,
373-221 Su?i Song,192.168.3.78,Schneider,,
375-61-4 Huy H?,192.168.16.190,Schneider,,
373-101 B?n Mòn,192.168.3.86,Schneider,,
378-165 P?c Ngà,192.168.3.90,Schneider,,
373-168-10 Ti?u khu 2,192.168.11.158,Schneider,,
375-222 Nà Xe,192.168.3.102,Schneider,,
371-406 B?n Nhèm,192.168.11.162,Schneider,,
375-391 M??ng Do,192.168.3.110,Schneider,,
375-6 B?n C?i,192.168.4.62,Schneider,,
371-7/137/27 Chi?ng Công,192.168.6.62,FTU SNS,,
373-107 Xín Vàng,192.168.3.122,Schneider,,
373-1 Háng ??ng,192.168.3.126,Schneider,,
371-1 ??ng Mã,192.168.5.6,Schneider,,
371-1 B?n Pa Liên l?c,192.168.16.234,Schneider,,
375-124 B?n Lào,192.168.1.146,Schneider,,
375-157 B?n H?n,192.168.2.250,Schneider,,
371-6 B?n H?m,192.168.9.30,Noja,,
371-126 Nong Vai,192.168.1.178,Schneider,,
371-10 Pha Khuông,192.168.1.126,Schneider,,
371-31 Co M?,192.168.1.110,Schneider,,
375-5 Co Líu,192.168.1.206,Schneider,,
375-4 Hua C?u,192.168.1.162,Schneider,,
375-184 Sao Và,192.168.1.198,Schneider,,
375-64 Ba Nh?t,192.168.1.118,Schneider,,
371-97 Hua Ty,192.168.1.182,Schneider,,
373-3 Bình Thu?n,192.168.1.142,Schneider,,
375/86/6 Phiêng Chanh,192.168.6.110,ENTEC,,
375-3 B?n Bai,192.168.1.158,Noja,,
373-2 Phiêng ??n,192.168.2.122,Schneider,,
373-206 N?m Ty ( c?),192.168.2.126,Schneider,,
375-152 B?n Nh?p,192.168.2.134,Schneider,,
373-108 Nà Ngh?u,192.168.2.138,Schneider,,
373-4 Bang Búng,192.168.2.154,Schneider,,
373-67 M??ng L?m,192.168.1.26,Schneider,,
375-289 B?n P?c,192.168.1.38,Schneider,,
371-53.167A M??ng L?n,192.168.1.2,Schneider,,
373-1 B?n N?u,192.168.4.58,Schneider,,
371-22 S?m Pói,192.168.1.30,Schneider,,
371-159 B?n Bánh,192.168.1.22,Schneider,,
371-67 Hu?i Kh?ng,192.168.1.34,Cooper,,
 373/19 Anh Minh (?MT),?,POWERSYS,,
371-5 B?n Khá,192.168.4.30,Schneider,,
374-3 Chi?ng C?,192.168.1.6,Schneider,,
374-3 Chi?ng ?en,192.168.1.10,Schneider,,
 373/5/1 Tinh B?t S?n,?,Schneider,,
371-7/23/2 ?inh Lanh,192.168.6.58,FTU SNS,,
378/43/8 B?n Th?m,192.168.17.46,Schneider,,
374-127 Phiêng Tam,192.168.1.18,Schneider,,
473-161 Nà Cóng,192.168.10.247,FTU,,
473-1 Hua La,192.168.17.34,FTU,,
473-4 V?t T?,192.168.2.74,FTU,,
 471/1 M??ng Thanh(KH),?,Schneider,,
473-47 Bó C?m,192.168.17.38,Noja,,
375-10 B?m N??c,192.168.7.34,Schneider,,
371-7-137/75 Kho Lao,192.168.6.34,FTU SNS,,
478-72 Ka Láp,192.168.2.2,Noja,,
371/137/2 B?n Cong,192.168.6.106,ENTEC,,
371-7/30/2 Chi?ng Khoi,192.168.7.54,FTU SNS,,
372-7-88-2 To Láng,192.168.1.238,Schneider,,
372-7-83-2 Chi?ng Xuân,192.168.11.222,Schneider,,
374-7/144/3 S?m L?m,192.168.1.246,Schneider,,
373-7/43/56 M??ng L?m,192.168.7.74,FTU SNS,,
474-1-15 Công ?oàn,192.168.5.54,BoHung,,
478-7/137 B?n Pát,192.168.4.2,Schneider,,
472-7-59A Su?i Lìn,192.168.4.250,BoHung,,
372-104 Tân Xuân,192.168.3.182,Schneider,,
373-7/192/16 Páo C?a,192.168.7.50,FTU SNS,,
371-7/87/48 Chi?ng H?ng,192.168.7.66,FTU SNS,,
371-7/87/81 Nà Li?ng,192.168.7.70,FTU SNS,,
375-7/106/2 M??ng Bú,192.168.7.130,FTU SNS,,
371-7/162/2 Nà L?a,192.168.6.38,FTU SNS,,
373-7/132/4 Kim Chung,192.168.7.46,FTU SNS,,
371-7/103/2 B?n Chông,192.168.6.54,FTU SNS,,
478-4 V??n ?ào,192.168.3.186,Noja,,
371-7/70/4 B?n Nong,192.168.6.50,FTU SNS,,
373-5 Tô Buông,192.168.3.22,Schneider,,
371-7/62 Chi?ng P?n,192.168.3.2,Schneider,,
376-7-103 T?t Ngo?n,192.168.11.226,Schneider,,
375-7-153-4 B?n Khún,192.168.1.54,Schneider,,
375-7-88-4 Hoàng Mã,192.168.1.58,Schneider,,
373-7-271 Nà Pàn,192.168.1.50,Schneider,,
375-7-173-2 Ki?n Lâm,192.168.1.46,Schneider,,
378-7/43/72 B?n S?ng ,192.168.3.130,Schneider,,
374-7-76 B?n Ái,192.168.1.234,Schneider,,
373-7/60/37 Chi?ng ?en,192.168.17.90,Schneider,,
478-7-65-1 Ka Láp,192.168.17.50,FTU,,
474-7/29 Liên L?c Chi?ng Ng?n(LL 474&478),192.168.2.14,FTU,,
473-7-158 Nà Cóng,192.168.10.253,FTU,,
473-7-77 Quy?t Tâm,192.168.17.54,FTU,,
374-7/14/47 Tr?i Bò,192.168.4.50,Schneider,,
473/7/71/34 B?n Nam,192.168.4.26,Schneider,,
473-7-128 T? 2 Q.Th?ng,192.168.3.42,FTU,,
373-1/36/55 B?n Bay,192.168.17.94,Schneider,,
374-7/16 Nà C?n,192.168.2.238,Schneider,,
374-7/14/1 Noong ?úc,192.168.17.66,Schneider,,
476-7/146 Nhà N?i,192.168.2.242,Schneider,,
476-7/180 ?ô Th?,192.168.2.214,Schneider,,
373-7-284 B?n Pót,192.168.3.158,Schneider,,
375-7-55 Nong Vai,192.168.3.162,Schneider,,
375-7-156 B?n B?m,192.168.3.166,Schneider,,
373-7/221/83 Vàn 2,192.168.6.130,Bohung,,
373-7/226/45 Bãi Tay,"192.168.9,18",Bohung,,
373-7/17/7 Chim th??ng,192.168.9.22,Bohung,,
471-7/169 B?n Cang,192.168.16.124,Bohung,,
373-7/196 B?n Pe,192.168.6.158,Bohung,,
373-7/41/8 Nhan Loc,192.168.6.170,Bohung,,
373-7/234 Pua Luông,192.168.6.174,Bohung,,
471-7/144/3 TK 6,192.168.16.198,Bohung,,
471-7/159/1 B?n Mo,192.168.6.186,Bohung,,
471-7/193 B?n Puôi,192.168.16.202,Bohung,,
471-7/137 TK2,192.168.16.58,Bohung,,
373-7/62/3 Cáo A,192.168.16.82,Bohung,,
373-7/168/66 Cáo B,192.168.16.86,Bohung,,
373-7/167 Y T? D? Phòng,192.168.16.122,Bohung,,
373-7/121/3 Pá ?ng,192.168.16.130,Bohung,,
373-7/34/28 Su?i Háo,192.168.6.118,Bohung,,
373-7/20/6 Su?i Chéo,192.168.16.106,Bohung,,
373-7/339/5 Keo Bó,192.168.6.126,Bohung,,
373-7/255/3 NK B?n Khoa,192.168.6.142,Bohung,,
373-7/256/4 B?n Ph?,192.168.6.154,Bohung,,
373-7/36/2 B?n Lìn,192.168.3.170,Schneider,,
